person,position,start,end,prev,next,ps
Q20113700,Q19305384,2015-06-09,2019-02-01,,,statement/Q20113700-d3ef750c-432a-0124-567f-6655c63139e9
Q2016880,Q19305384,2019-06-11,,,,statement/Q2016880-86560b9e-4e94-1bf7-df25-7afc334e0e5b
Q2038480,Q19305384,2003-06-10,2007-06-12,,,statement/Q2038480-63b3dfc8-4f35-3d86-5688-6f5d5fc4dcdb
Q20734837,Q19305384,1999-06-08,2003-06-10,,,statement/Q20734837-BF54EE0D-A3F0-4827-B2B2-1064A69B554E
Q20734927,Q19305384,1991-06-11,2003-06-10,,,statement/Q20734927-BEF7A0A9-C8F2-4A94-8B45-38D325FEEA84
Q2074268,Q19305384,2009-06-16,2019-06-11,,,statement/Q2074268-578EACB2-0873-411F-8AC0-B0EC4DB6B7DD
Q2075610,Q19305384,2015-06-09,2019-06-11,,,statement/Q2075610-194c875f-4c17-942f-28ad-091057607f8c
Q2082585,Q19305384,2000-04-18,2003-06-10,,,statement/Q2082585-1CDC4ED0-4844-4025-BB8D-EDD3D840ECB3
Q2084799,Q19305384,2019-06-11,2022-01-10,,,statement/Q2084799-78d92ef8-4489-e83d-e925-053d78b27254
Q20857342,Q19305384,1995,2003,,,statement/Q20857342-CEDA97FE-F579-4E5F-BEC2-DD1A249CB8D7
Q20857342,Q19305384,1995,2003-06-10,,,statement/Q20857342-CEDA97FE-F579-4E5F-BEC2-DD1A249CB8D7
Q20857342,Q19305384,1995-06-13,2003,,,statement/Q20857342-CEDA97FE-F579-4E5F-BEC2-DD1A249CB8D7
Q20857342,Q19305384,1995-06-13,2003-06-10,,,statement/Q20857342-CEDA97FE-F579-4E5F-BEC2-DD1A249CB8D7
Q20857358,Q19305384,1999-06-08,2003-06-10,,,statement/Q20857358-B79F5FEA-58DF-481D-92F9-F3CEE8411890
Q20857375,Q19305384,1987-06-23,2003-06-10,,,statement/Q20857375-E2FBE4F3-37BD-4F30-BEF0-2D1A0A9217EE
Q2086514,Q19305384,1999-06-08,2011-06-07,,,statement/Q2086514-831EAE94-C059-47CF-95F1-15F58162B716
Q2089254,Q19305384,2003-06-10,2006-11-29,,,statement/Q2089254-31EBB70C-B437-4CC5-A850-147A2A96FB65
Q2094302,Q19305384,2010-11-02,2011-06-07,,,statement/Q2094302-B363AAF0-9465-4518-8FEC-834722704EF2
Q2106896,Q19305384,2019-06-11,,,,statement/Q2106896-0284105a-41c5-70fa-2c19-8263c0499527
Q2111244,Q19305384,2003-06-10,2015-06-09,,,statement/Q2111244-CF620010-A8F2-49B1-B72C-411E7F5F9E6B
Q2120050,Q19305384,2007-06-12,2011-06-07,,,statement/Q2120050-1BD268AA-CA32-48B8-926B-82627BCF65CA
Q2120911,Q19305384,2019-06-11,,,,statement/Q2120911-7f7eabd9-45dc-89b7-4430-3698ec57408a
Q2123284,Q19305384,2011-06-07,2015-06-09,,,statement/Q2123284-A79ECAE2-0EA5-4EF1-B9FA-AB5F9F3432BC
Q2128526,Q19305384,2011-06-07,2021-10-07,,,statement/Q2128526-3C13549E-928F-4D34-AE0F-5F4DFD00A203
Q2133228,Q19305384,1995-06-13,2007-06-12,,,statement/Q2133228-23A8379F-2C22-4AB5-92B7-FF239403B076
Q2140284,Q19305384,1987-06-23,2003-06-10,,,statement/Q2140284-65C2D035-AD86-466C-B6FB-0F447BEB71FA
